,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
324,🇵🇪 Hurgar en la Memoria 🇵🇪,hurgamemoriaPE,33885,848,3,3
325,Pajaro Azul,pajaroazulperu,2715,1193,8,10
326,Poco Vicio,pocovicio,21646,6,8,5
327,El Panfleto Perú,elpanfletope,322331,559,4,8
328,Milton von Hesse,VonHesseMilton,469,148,2,10
329,Monos y Monadas,nicolasyerovi,22501,140,6,2
330,Política El Comercio,Politica_ECpe,166135,519,5,1
331,Javier Villa Stein,JVillaStein,23293,647,4,5
332,Carlos León Moya,contracultural,17665,2665,9,4
333,Ditel Columbus,DitelColumbus,15908,1066,3,5
334,Jorge Moreno Matos,historiador,7113,1861,11,1
335,Heduardo,heduardo50,739991,173,8,6
336,Hildebrandtensus13,ensustrece,1276147,407,8,5
337,24 Horas,24HorasTV,174881,71,6,5
338,Kenji Fujimori,KenjiFujimoriH,528631,22264,6,1
339,Policía Peruana,PoliciaPeru,143468,178,7,10
340,Carmen Omonte,CarmenOmonte,50532,2553,7,1
341,Pedro Cateriano B,PCaterianoB,46506,284,4,10
342,Prensa La Eskina,PrensaLaEskina,1846,681,8,0
343,Exitosa Noticias,exitosape,146286,513,4,9
344,Consejo de Ministros,pcmperu,288482,762,8,1
345,Mininter Perú,MininterPeru,217828,651,8,8
346,Congreso del Perú,congresoperu,431681,585,8,11
347,IDL-Reporteros,IDL_R,500289,605,8,7
348,Willax Televisión,willaxtv,207223,1096,9,4
349,NacionalFM,RadioNacionalFM,357071,718,8,7
350,Poder Judicial Perú,Poder_Judicial_,274475,501,7,5
351,Contraloría del Perú,ContraloriaPeru,138583,1004,7,2
352,Defensoría Perú,Defensoria_Peru,254877,608,8,7
353,Panamericana.pe,PanamericanaTV,958644,80,9,2
354,Ministerio Público,FiscaliaPeru,259334,702,7,3
355,Economía y Finanzas,MEF_Peru,176806,929,7,0
356,EFE Noticias,EFEnoticias,1400606,62,8,7
357,Transparencia,ACTransparencia,256526,2497,9,0
358,Trib. Const. Perú,TC_Peru,108342,75,7,5
359,Hablemos Peru,HablemosPeru,630,680,6,5
360,Día D,DiaDatv,592108,964,7,9
361,Taktikos Digital,velaverdeperu,35700,670,5,7
362,Buenas Noches,BuenasNochesATV,18375,971,6,9
363,Embajada EEUU Perú,USEMBASSYPERU,48251,370,8,9
364,MTCPeru,MTC_GobPeru,75131,441,4,9
365,Panorama,PanoramaPTV,295076,26,6,10
366,Diario Gestión,Gestionpe,1020142,833,8,7
367,Diario UNO,DiarioUnoPeru,98613,580,9,0
368,Diario Expreso Perú,ExpresoPeru,55042,611,7,8
369,TV Perú,tvperupe,37124,2496,8,6
370,Punto Final,PFinal_FL,60841,503,7,1
371,Nicolas Lucar,NicolasLucar,294838,445,9,2
372,Diario Correo,diariocorreo,786436,520,8,10
373,20/18,2018Ntv,28523,1079,6,7
374,TVPeruPE Noticias,noticias_tvperu,687951,1726,9,1
375,RPP Noticias,RPPNoticias,1684118,996,10,11
376,Guido Lombardi,GuidoLombardiE,49116,2499,6,5
377,Ollanta Humala Tasso,Ollanta_HumalaT,1614246,60,8,3
378,Revista Caretas,Caretas,651706,628,9,3
379,Cuarto Poder,Cuarto_Poder,1497868,881,9,2
380,Agencia Andina,Agencia_Andina,487703,2210,9,3
381,Patricia Del Río,padelriol,858045,842,7,5
382,Diario La República,larepublica_pe,1868846,1294,9,0
383,Verónica Linares,VeroLinaresC,1539139,749,8,5
384,Canal N,canalN_,2495046,526,7,7
385,América Noticias,noticiAmerica,2568651,1251,9,0
